epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5991,2.38082,5.70385,1.50668,0.00431,0.41176,0.0031,0.00148,1.72364,4.01655,1.24173,0.00015003,0.00015003,0.00015003
2,36.0479,1.89897,4.69641,1.15654,0.00621,0.75,0.00773,0.00323,1.64817,3.96743,1.16721,0.00031464,0.00031464,0.00031464
3,41.238,1.78617,3.59755,1.10103,0.00651,0.5,0.00612,0.00235,2.00523,4.01811,1.38341,0.000477049,0.000477049,0.000477049
4,46.0055,1.65895,2.89232,1.12816,0.00403,0.44118,0.0037,0.00139,1.93533,3.93373,1.36317,0.000637257,0.000637257,0.000637257
5,50.0027,1.68296,2.76498,1.11209,0.00524,0.60294,0.09015,0.04283,1.91608,3.74924,1.32526,0.000795266,0.000795266,0.000795266
6,54.1351,1.62236,2.41406,1.07346,0.00617,0.66176,0.19773,0.07608,1.84123,3.537,1.30788,0.000951074,0.000951074,0.000951074
7,59.1822,1.60815,2.31742,1.09834,0.00756,0.63235,0.03195,0.01793,1.6575,3.61402,1.20829,0.00110468,0.00110468,0.00110468
8,63.0417,1.59441,2.1505,1.0954,0.00814,0.57353,0.00822,0.00468,1.70895,3.55236,1.25013,0.00125609,0.00125609,0.00125609
9,67.6341,1.4823,1.9612,1.0732,0.01039,0.70588,0.16046,0.0939,1.60862,3.3801,1.23716,0.00140529,0.00140529,0.00140529
10,72.8901,1.61583,2.0346,1.11068,1,0.10564,0.43395,0.20645,1.81364,2.90771,1.34207,0.0015523,0.0015523,0.0015523
11,76.8911,1.48519,1.87687,1.06464,0.86616,0.09566,0.26285,0.12567,1.79655,3.01886,1.33803,0.00155698,0.00155698,0.00155698
12,80.9252,1.41282,1.81163,1.02633,0.64951,0.49061,0.62123,0.31075,1.72837,2.09165,1.35224,0.00154598,0.00154598,0.00154598
13,86.1899,1.41252,1.76882,1.03625,0.54324,0.55882,0.60693,0.30969,1.76834,1.95648,1.38027,0.00153497,0.00153497,0.00153497
14,90.1016,1.39488,1.69927,1.02821,0.67848,0.44118,0.54983,0.25008,1.9331,1.97512,1.49244,0.00152397,0.00152397,0.00152397
15,94.3237,1.41886,1.57032,1.01927,0.78361,0.42647,0.55892,0.2896,1.66839,1.97783,1.28439,0.00151297,0.00151297,0.00151297
